,country,city,parameter,avg_24h,pm10_aqi,pm25_aqi
192,GB,Leeds,no2,28.4,0.0,0.0
193,GB,Bexley,pm10,8.828927632281905,8.174932992853616,0.0
194,GB,Crompton Way   OL2 8AQ,no2,42.2,0.0,0.0
195,GB,Eastbourne,pm10,6.615671631115586,6.12562188066258,0.0
196,GB,North West & Merseyside,no2,28.4,0.0,0.0
197,GB,Liverpool,no2,8.3,0.0,0.0
198,GB,Glasgow,no2,29.3,0.0,0.0
199,GB,Dartford,no2,15.627450886894675,0.0,0.0
200,FR,Val-d'Oise,o3,73.06250083446503,0.0,0.0
201,GB,High Muffles,no2,2.0,0.0,0.0
202,GB,Kingston,no2,24.499999841965668,0.0,0.0
203,FR,Savoie,o3,60.740475927080425,0.0,0.0
204,FR,Seine-Maritime,pm25,6.594117697547464,0.0,27.47549040644777
205,FR,Haute-Garonne,o3,71.62500028610229,0.0,0.0
206,FR,Savoie,pm10,4.187999997138977,3.8777777751286826,0.0
207,FR,Savoie,pm25,1.7099999904632568,0.0,7.124999960263571
208,GB,Belfast,no2,45.6,0.0,0.0
209,FR,Haute-Garonne,pm10,11.357627133191642,10.51632141962189,0.0
210,GB,Eastbourne,pm25,2.623684236877843,0.0,10.93201765365768
211,GB,Lewisham,pm10,7.340828401802559,6.7970633350023695,0.0
212,FR,Eure-et-Loir,pm25,3.2950000166893005,0.0,13.72916673620542
213,FR,Loir-et-Cher,pm25,4.140000033378601,0.0,17.250000139077503
214,GB,Central Scotland,no2,55.6,0.0,0.0
215,GB,City of London,no2,29.46352936520296,0.0,0.0
216,GB,Lewisham,o3,56.401149705908765,0.0,0.0
217,FR,Val-de-Marne,no2,12.682353019714355,0.0,0.0
218,GB,Fort William,no2,11.0,0.0,0.0
219,FR,Finistère,pm10,14.79523804074242,13.699294482168908,0.0
220,GB,Rochester,no2,6.4,0.0,0.0
221,FR,Côtes-d'Armor,pm10,7.166666825612386,6.635802616307765,0.0
222,FR,Calvados,pm10,12.649999989403618,11.712962953151498,0.0
223,FR,Hautes-Alpes,no2,22.149999809265136,0.0,0.0
224,FR,Isère,o3,57.578182047063656,0.0,0.0
225,FR,Reunion,o3,56.04399963378906,0.0,0.0
226,FR,Haute-Vienne,pm10,8.388235344606287,7.7668845783391545,0.0
227,GB,Ladybower,no2,5.2,0.0,0.0
228,GB,Kensington and Chelsea,o3,52.43142790113177,0.0,0.0
229,FR,Finistère,pm25,4.333333293596904,0.0,18.0555553899871
230,FR,Hautes-Pyrénées,pm25,2.8700000524520872,0.0,11.958333551883698
231,GB,Exeter,no2,10.4,0.0,0.0
232,FR,Pyrénées-Atlantiques,no2,12.729729843300742,0.0,0.0
233,GB,Derry,no2,9.0,0.0,0.0
234,FR,Saint-Leu,pm25,2.9666667381922402,0.0,12.361111409134335
235,FR,Haute-Garonne,pm25,3.865624997764826,0.0,16.10677082402011
236,FR,Vosges,no2,5.272222101688385,0.0,0.0
237,GB,Stanford-le-Hope,no2,27.2,0.0,0.0
238,GB,Eastbourne,o3,57.4120689918255,0.0,0.0
239,GB,Hillingdon,o3,48.938962168507764,0.0,0.0
240,FR,Nièvre,pm25,4.333333253860474,0.0,18.05555522441864
241,FR,Moselle,pm25,4.179166664679845,0.0,17.413194436166023
242,FR,Haut-Rhin,pm10,7.751612970905919,7.17741941750548,0.0
243,GB,Reading,no2,13.931884129842123,0.0,0.0
244,GB,Harrow,no2,16.08774178566471,0.0,0.0
245,FR,Haute-Savoie,no2,16.148648716307974,0.0,0.0
246,FR,Creuse,no2,5.169999980926514,0.0,0.0
247,GB,Bexley,pm25,4.508333347060463,0.0,18.7847222794186
248,FR,Moselle,no2,10.441860437393188,0.0,0.0
249,FR,Eure-et-Loir,o3,69.5187497138977,0.0,0.0
250,FR,Paris,o3,63.42999954223633,0.0,0.0
251,GB,Lewisham,no2,18.114625773462308,0.0,0.0
252,FR,Dordogne,pm25,4.8000000476837155,0.0,20.000000198682148
253,GB,Havering,no2,10.724648039105912,0.0,0.0
254,FR,Alpes-Maritimes,pm10,23.356250047683716,21.626157451558996,0.0
255,GB,Coventry,no2,19.8,0.0,0.0
256,FR,Meurthe-et-Moselle,no2,12.369230759449493,0.0,0.0
257,FR,Var,o3,81.28333409627278,0.0,0.0
258,GB,Widnes,no2,36.6,0.0,0.0
259,GB,Kensington and Chelsea,co,66.66666666666667,0.0,0.0
260,FR,Bouches-du-Rhône,o3,73.98421076724404,0.0,0.0
261,GB,Lewes,no2,10.784408538572249,0.0,0.0
262,GB,Crawley,pm25,2.714473633389724,0.0,11.310306805790518
263,FR,Savoie,no2,10.712244880442716,0.0,0.0
264,FR,Saône-et-Loire,no2,8.135000038146973,0.0,0.0
265,GB,Norwich,no2,9.6,0.0,0.0
266,FR,Alpes-de-Haute-Provence,o3,78.78333346048991,0.0,0.0
267,FR,Seine-et-Marne,pm10,16.1636363809759,14.96632998238509,0.0
268,GB,Greenwich,no2,24.53546951495766,0.0,0.0
269,GB,Kensington and Chelsea,pm10,7.404838723521078,6.856332151408406,0.0
270,GB,Brighton and Hove,no2,5.187999928792317,0.0,0.0
271,FR,Essonne,pm25,3.4916666944821677,0.0,14.548611227009033
272,FR,Val-d'Oise,pm10,15.507692447075478,14.35897448803285,0.0
